title,genre,description
Inception,Action|Sci-Fi,"A thief who steals corporate secrets using dream-sharing technology."
The Matrix,Action|Sci-Fi,"A computer hacker learns about the true nature of his reality."
The Notebook,Romance,"A romantic drama about a young couple falling in love."
Titanic,Romance|Drama,"A love story that blossoms on the ill-fated Titanic."
Avengers: Endgame,Action|Sci-Fi,"Superheroes unite to reverse the effects of Thanos' snap."
The Conjuring,Horror,"Paranormal investigators help a family terrorized by a dark presence."
Interstellar,Sci-Fi|Drama,"Explorers travel through a wormhole to save humanity."
Joker,Drama|Thriller,"A mentally troubled comedian descends into madness."
Forrest Gump,Drama|Romance,"The story of a kind-hearted man from Alabama."
A Quiet Place,Horror|Thriller,"A family must live in silence to avoid deadly creatures."
The Hangover,Comedy|Adventure,"A bachelor party in Vegas goes wrong."
Deadpool,Action|Comedy,"A mercenary becomes a wisecracking superhero."
La La Land,Romance|Musical,"A jazz musician and actress fall in love in LA."
The Fault in Our Stars,Romance|Drama,"Two teenage cancer patients fall in love."
Get Out,Horror|Mystery,"A young man uncovers secrets when meeting his girlfriend’s family."
Black Panther,Action|Adventure,"A prince becomes king and defends Wakanda."
Iron Man,Action|Sci-Fi,"A billionaire builds a high-tech armored suit to fight evil."
Spider-Man: No Way Home,Action|Adventure|Sci-Fi,"Peter Parker deals with multiverse chaos."
The Exorcist,Horror,"A girl is possessed and needs an exorcism."
Toy Story,Animation|Comedy|Adventure,"Toys come to life when their owner isn’t around."
Finding Nemo,Animation|Adventure|Family,"A clownfish searches the ocean to find his son."
Frozen,Animation|Musical|Family,"Two sisters struggle with magic and royal duty."
Shutter Island,Mystery|Thriller,"A US Marshal investigates a mental asylum on an island."
The Social Network,Drama,"The founding of Facebook and its legal battles."
